Scuola,Autore,Soggetto/Titolo,Data,Sala
tedesca,"Süss von Kulmbach, Hans",Crocifissione,1511-1514 circa,20 - Dürer
tedesca,"Süss von Kulmbach, Hans",Storie di san Pietro e di san Paolo,1514-1516 circa,20 - Dürer
tedesca,Scuola tedesca del secolo XVI,Libro aperto,1500-1525 circa,20 - Dürer
fiamminga,"Brueghel il Vecchio, Jan",Grande Calvario,1604 circa,20 - Dürer
veneta,"Vivarini, Bartolomeo",San Ludovico di Tolosa,1465 circa,21 - Giambellino e Giorgione
veneta,"Bellini, Giovanni",Allegoria sacra,1490-1500 circa,21 - Giambellino e Giorgione
veneta,"Bellini, Giovanni",Ritratto d'uomo,1490-1500 circa,21 - Giambellino e Giorgione
veneta,"Bellini, Giovanni",Compianto di Cristo,1500,21 - Giambellino e Giorgione
veneta,Giorgione,Giudizio di Salomone,1502-1505 circa,21 - Giambellino e Giorgione
veneta,Giorgione,Prova del fuoco di Mosè,1502-1505 circa,21 - Giambellino e Giorgione
veneta,Giorgione (attr.),Guerriero con scudiero detto Il Gattamelata,1502-1510 circa,21 - Giambellino e Giorgione
ferrarese,"Tura, Cosmè",San Domenico,1475 circa,21 - Giambellino e Giorgione
veneta,Cima da Conegliano,Madonna col Bambino,1504 circa,21 - Giambellino e Giorgione
veneta,"Carpaccio, Vittore",Alabardieri e anziani,1490-1493 circa,21 - Giambellino e Giorgione
veneta,"Carpaccio, Vittore (attr.)",Profeta,1510 circa,21 - Giambellino e Giorgione
veneta,"Carpaccio, Vittore (attr.)",Sibilla,1510 circa,21 - Giambellino e Giorgione
ferrarese,"Costa il Vecchio, Lorenzo",Ritratto di Giovanni II Bentivoglio,1490-1492 circa,21 - Giambellino e Giorgione
fiamminga,Maestro di Hoogstraeten,Madonna in trono tra le sante Caterina d'Alessandria e Barbara,1520 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"David, Gerard",Adorazione dei Magi,1495 circa,22 - Fiamminghi e tedeschi del Rinascimento
olandese,Maestro della Virgo inter Virgines,Crocifissione,1475-1500 circa,22 - Fiamminghi e tedeschi del Rinascimento
siciliana,Antonello da Messina,San Giovanni Evangelista,1470-1475 circa,22 - Fiamminghi e tedeschi del Rinascimento
siciliana,Antonello da Messina,Madonna col Bambino e angeli reggicorona,1470-1475 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Orley, Bernaert van",Ritratto di ignoto e di sua moglie,1500-1550 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Cleve, Joos van",Ritratto di ignoto e di sua moglie,1520,22 - Fiamminghi e tedeschi del Rinascimento
tedesca,"Holbein il Giovane, Hans",Ritratto di Sir Richard Southwell,1536,22 - Fiamminghi e tedeschi del Rinascimento
tedesca,"Holbein il Giovane, Hans",Autoritratto,1542 circa,22 - Fiamminghi e tedeschi del Rinascimento
tedesca,"Altdorfer, Albrecht",Congedo di san Floriano,1518-1520 circa,22 - Fiamminghi e tedeschi del Rinascimento
tedesca,"Altdorfer, Albrecht",Martirio di san Floriano,1518-1520 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Holbein il Giovane, Hans (scuola)",Ritratto di Tommaso Moro (?),1540 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Memling, Hans",Madonna in trono tra due angeli,1490-1491 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Memling, Hans",Uomo con la lettera,1480 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Memling, Hans",Ritratto di ignoto in un paesaggio,1480 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Memling, Hans",Ritratto di Folco Portinari,1490 circa,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,"Memling, Hans",Trittico di Benedetto Portinari (scomparti di San Benedetto e Ritratto di Benedetto Portinari),1487,22 - Fiamminghi e tedeschi del Rinascimento
fiamminga,Maestro dei ritratti Baroncelli,Ritratto di Pierantonio Baroncelli e di sua moglie Maria Bonciani,1490 circa,22 - Fiamminghi e tedeschi del Rinascimento
tedesca,"Pencz, Georg",Ritratto di ignoto di diciott'anni,1544,22 - Fiamminghi e tedeschi del Rinascimento
olandese,Luca di Leida,Cristo dolente,1517 circa,22 - Fiamminghi e tedeschi del Rinascimento
mantovana,"Mantegna, Andrea","Trittico con Adorazione dei Magi, Circoncisione, Ascensione",1460,23 - Mantegna e Correggio
mantovana,"Mantegna, Andrea",Ritratto di Carlo de' Medici,1466,23 - Mantegna e Correggio
mantovana,"Mantegna, Andrea",Madonna delle Cave,1488-1490,23 - Mantegna e Correggio
lombarda,"Foppa, Vincenzo",Madonna col Bambino e un angelo,1479-1480 circa,23 - Mantegna e Correggio
