Scuola,Autore,Soggetto/Titolo,Data,Sala
olandese,"Bramer, Leonaert",Adorazione dei pastori,1630-1640 circa,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Werff, Adriaen van der",Giudizio di Salomone,1697,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Bloot, Pieter de",Rissa di giocatori,1635-1645 circa,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Pynacker, Adam",Paesaggio fluviale con pastori e una torre,1650-1655 circa,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Pynas, Jacob",Mercurio e le figlie di Aglauro,1603-1608 circa,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Douven, Jan Frans van",Sant'Anna insegna a leggere alla Vergine,1703,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Douven, Bartholomeus van",Glorificazione degli elettori palatini del Reno come protettori delle Arti,1722,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Werff, Pieter van der",Giochi di bambini,1700 (ante),53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Werff, Pieter van der",Adorazione dei pastori,1703,53 - Pittori olandesi di Delft e Rotterdam del XVII-XVIII secolo
olandese,"Wyck, Thomas",Paesaggio con veduta dell'Isola Tiberina,1640-1650 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Bega, Cornelis (attr.)",Suonatore di liuto,1664-1668,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Bronchorst, Jan Gerritz. van",Decollazione del Battista,1630 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Molenaer, Jan Miense",Scena di taverna,1635 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Poelenburgh, Cornelis van",Paesaggio con danza di contadini,1622,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Berghen, Dirk van",Paesaggio con pastora e animali,1670 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Berghen, Dirk van",Paesaggio con animali,1680-1690 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Poelenburgh, Cornelis van",Mercurio ruba il gregge di Apollo,1621 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Bega, Cornelis",Suonatrice di liuto,1664-1665,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Berckheyde, Gerrit Adriaensz.",Autoritratto nello studio,1675,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Pot, Hendrick Gerritsz.",L'avaro,1640-1650 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Mignon, Abraham","Natura morta con limoni, uva e pane",1650-1679 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Berckheyde, Gerrit Adriaensz.",Veduta di Haarlem con la chiesa di San Bavone e il Groote Markt,1693,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
olandese,"Ruysdael, Jacob van",Paesaggio con pastori e contadini,1660-1670 circa,54 - Pittori olandesi di Haarlem e Utrecht del XVII secolo
fiamminga,"Carlier, Jean Guillaume",Nozze di Alessandro e Rossana,1660-1670 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Dalem, Jan van",Bacco,1646-1660 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Houbraken, Nicola van",Natura morta con fontana e ghirlanda di fiori e frutta,1680-1720 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Boel, Pieter",Falco che minaccia dei polli,1650-1660 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Wolffordt, Artur (attr.)",Ninfe al bagno,1620 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,Scuola fiamminga,Testa di Medusa,1610-1612 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Wouters, Frans",Venere e Adone,1645 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Rubens, Pieter Paul (bottega)",Giuditta con la testa di Oloferne,1625 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Dyck, Antoon van",Ritratto di Jean de Montfort,1628 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Rubens, Pieter Paul",Bacco sul barile,1640 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Seghers, Daniel",Ghirlanda di fiori con busto marmoreo con il ritratto dell'arciduca Leopoldo Guglielmo,1647,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Dyck, Antoon van (scuola)",Presunto ritratto della madre di Giusto Suttermans,1640-1650 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Dyck, Antoon van",Ritratto equestre dell'imperatore Carlo V,1620 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Dyck, Antoon van","Ritratto di Margherita di Lorena, duchessa d'Orléans",1634 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Rubens, Pieter Paul",Ritratto della moglie dell'artista Isabella Brandt,1625-1626 circa,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Rubens, Pieter Paul",Autoritratto,1618,55 - Pittori fiamminghi del XVII secolo
fiamminga,"Jordaens, Jacob (attr.)",Presunto ritratto della madre dell'artista,1620-1670 circa,55 - Pittori fiamminghi del XVII secolo
fiorentina,Andrea del Sarto,Tre scene con figure all'antica,1513,57 - Andrea del Sarto e l'Antico
fiorentina,Andrea del Sarto,Dama col Petrarchino,1528 circa,58 - Andrea del Sarto
fiorentina,Andrea del Sarto,San Jacopo con due fanciulli,1528-1529,58 - Andrea del Sarto
fiorentina,Andrea del Sarto,Madonna delle Arpie,1517,58 - Andrea del Sarto
fiorentina,Andrea del Sarto,Dossale dei quattro santi,1528-1529 circa,58 - Andrea del Sarto
fiorentina,Pontormo (attr.),Leda,1512-1513 circa,59 - Amici di Andrea
fiorentina,Franciabigio,Ritratto virile,1514,59 - Amici di Andrea
fiorentina,Andrea del Sarto,Dama col cestello di fusi,1514-1515 circa,59 - Amici di Andrea
fiorentina,"Puligo, Domenico",Ritratto di Pietro Carnesecchi,1527,59 - Amici di Andrea
fiorentina,Bacchiacca,Cristo davanti a Caifa,1535-1540 circa,59 - Amici di Andrea
fiorentina,Bacchiacca,Storie di sant'Acacio,1521,59 - Amici di Andrea
fiorentina,Bacchiacca,Deposizione dalla Croce,1518 circa,59 - Amici di Andrea
fiorentina,Rosso Fiorentino,Putto che suona,1520 circa,60 - Rosso Fiorentino
fiorentina,"Rosso Fiorentino o Larciani, Giovanni",Ritratto di giovinetta,1510 circa,60 - Rosso Fiorentino
fiorentina,Rosso Fiorentino,Ritratto di giovane in nero,1520 circa,60 - Rosso Fiorentino
fiorentina,Rosso Fiorentino,Pala dello Spedalingo,1518,60 - Rosso Fiorentino
fiorentina,Rosso Fiorentino (forse copia antica da),Mosè difende le figlie di Jetro,1523-1524 circa,60 - Rosso Fiorentino
fiorentina,"Larciani, Giovanni",Allegoria della Fortuna,1515 circa,60 - Rosso Fiorentino
fiorentina,Pontormo,Ritratto di Cosimo il Vecchio,1518-1519 circa,61 - Pontormo
fiorentina,Pontormo,Madonna col Bambino e san Giovannino,1534-1536 circa,61 - Pontormo
fiorentina,Pontormo,Cacciata di Adamo ed Eva,1519 circa,61 - Pontormo
fiorentina,"Foschi, Pierfrancesco di Jacopo (attr.)",Ritratto del musico Francesco dell'Ajolle,1525-1530 circa,61 - Pontormo
fiorentina,Pontormo,Ritratto di Maria Salviati,1543-1545,61 - Pontormo
fiorentina,Pontormo,Sant'Antonio Abate,1519 circa,61 - Pontormo
fiorentina,Pontormo,Cena in Emmaus,1525,61 - Pontormo
fiorentina,Pontormo,Natività di san Giovanni Battista,1526 circa,61 - Pontormo
fiorentina,Pontormo,Ritratto di un musicista,1518-1519 circa,Depositi
fiorentina,Bronzino,Annunciazione,1540-1541 circa,64 - Bronzino
fiorentina,Bronzino,Ritratto di Lucrezia Panciatichi,1540 circa,64 - Bronzino
fiorentina,Bronzino,Ritratto di Bartolomeo Panciatichi,1540 circa,64 - Bronzino
fiorentina,Bronzino,Ritratto di giovane con liuto,1530-1540 circa,64 - Bronzino
fiorentina,Bronzino,Compianto sul Cristo morto,1529 circa,64 - Bronzino
fiorentina,Bronzino,Sacra Famiglia Panciatichi,1540-1545 circa,64 - Bronzino
fiorentina,Pontormo o Bronzino,Diecimila martiri,1529-1531 circa,64 - Bronzino
fiorentina,Bronzino,Allegoria della Felicità,1565-1570 circa,64 - Bronzino
fiorentina,Bronzino,Pigmalione e Galatea,1529-1530,64 - Bronzino
fiorentina,Bronzino,Ritratto di giovane ignota,1545 circa,65 - Bronzino e i Medici
fiorentina,Bronzino,Ritratto di Maria di Cosimo de' Medici,1551,65 - Bronzino e i Medici
fiorentina,Bronzino,Ritratto di Giovanni de' Medici,1545,65 - Bronzino e i Medici
fiorentina,Bronzino,Ritratto di Bia de' Medici,1542 circa,65 - Bronzino e i Medici
fiorentina,Bronzino,Ritratto di Eleonora di Toledo col figlio Giovanni,1545-1546,65 - Bronzino e i Medici
fiorentina,Bronzino,Ritratto di Cosimo I de' Medici,1545,65 - Bronzino e i Medici
fiorentina,Bronzino,Doppio ritratto del Nano Morgante,1552 circa,65 - Bronzino e i Medici
fiorentina,Bronzino,Ritratto di Francesco I de' Medici giovinetto,1551,65 - Bronzino e i Medici
urbinate,Raffaello,San Giovannino,1518-1519,66 - Raffaello
urbinate,Raffaello,Ritratto di Guidobaldo da Montefeltro,1506,66 - Raffaello
urbinate,Raffaello,Ritratto di Elisabetta Gonzaga,1504-1505 circa,66 - Raffaello
urbinate,Raffaello,Autoritratto,1506,66 - Raffaello
urbinate,Raffaello,Madonna del Cardellino,1507,66 - Raffaello
urbinate,Raffaello,Ritratto di Leone X con i cardinali Giulio de' Medici e Luigi de' Rossi,1518-1519,66 - Raffaello
urbinate,Raffaello (attr.),Ritratto di papa Giulio II,1512,66 - Raffaello
urbinate,Raffaello (attr.),Ritratto del Perugino,1504 circa,66 - Raffaello
urbinate,Raffaello,Ritratto di giovane con mela,1505 circa,66 - Raffaello
romana,"Gentileschi, Artemisia",Giuditta decapita Oloferne,1620 circa,Caravaggio
lombarda,Caravaggio,Sacrificio di Isacco,1603,Caravaggio
lombarda,Caravaggio,Bacco,1596 circa,Caravaggio
lombarda,Caravaggio,Scudo con testa di Medusa,1598-1599,Caravaggio
romana,"Manfredi, Bartolomeo",Tributo a Cesare,1610-1620,Bartolomeo Manfredi
romana,"Manfredi, Bartolomeo",Cristo deriso,1610-1630 circa,Bartolomeo Manfredi
romana,"Manfredi, Bartolomeo",Disputa con i dottori,1610-1620 circa,Bartolomeo Manfredi
romana,"Manfredi, Bartolomeo",Carità romana,1620 circa,Bartolomeo Manfredi
olandese,Gherardo delle Notti,Adorazione del Bambino,1620 circa,Gherardo delle Notti
olandese,Gherardo delle Notti,Cena con suonatore di liuto,1617 circa,Gherardo delle Notti
olandese,Gherardo delle Notti,Cena con sponsali,1617 circa,Gherardo delle Notti
olandese,Gherardo delle Notti,La buona ventura,1617 circa,Gherardo delle Notti
olandese,"Stomer, Mattias",Annunciazione,1633-1638 circa,Caravaggeschi
senese,"Rustici, Francesco",Morte di Lucrezia,1615-1625 circa,Caravaggeschi
senese,"Rustici, Francesco",Maria Maddalena morente,1624 circa,Caravaggeschi
senese,"Rustici, Francesco",Allegoria della Pittura e Architettura,1620 circa,Caravaggeschi
romana,Pittore caravaggesco,Liberazione di san Pietro dal carcere,1615-1620 circa,Caravaggeschi
romana,Spadarino,Convito degli dei,1620-1630 circa,Caravaggeschi
napoletana,"Caracciolo, Battistello",Salomè con la testa del Battista,1618 circa,Caravaggeschi
emiliana,"Reni, Guido",David con la testa di Golia,1605 circa,Guido Reni
emiliana,"Reni, Guido",Madonna della Neve,1623 circa,Guido Reni
emiliana,"Reni, Guido",Estasi di sant'Andrea Corsini,1629-1630,Guido Reni
romana,Pittore caravaggesco del secolo XVII,Doppio ritratto,1620 circa,Depositi
francese,"Regnier, Nicolas",Scena di gioco con indovina,1625 (ante),Depositi
romana,"Gentileschi, Artemisia",Santa Caterina d'Alessandria,1618-1619,Depositi
romana,Pittore caravaggesco XVIII secolo (da Bartolomeo Manfredi),Concerto musicale,1700-1750 circa,Depositi
fiorentina,"Gabbiani, Anton Domenico",Ratto di Ganimede,1700 circa,Depositi
veneta,Tiziano Vecellio e bottega,Madonna con Bambino e santa Caterina d'Alessandria,1550 circa,Depositi
veneta,Sebastiano Ricci,Allegoria della Toscana,1706 circa,Depositi
fiorentina,Andrea del Castagno,Pippo Spano,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Farinata degli Uberti,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Niccolò Acciaiuoli,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Sibilla Cumana,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Regina Ester,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Regina Tomiri,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Dante Alighieri,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Francesco Petrarca,1448-1451,San Pier Scheraggio
fiorentina,Andrea del Castagno,Giovanni Boccaccio,1448-1451,San Pier Scheraggio
fiorentina,"Botticelli, Sandro",Annunciazione di San Martino alla Scala,1481,San Pier Scheraggio
siciliana,"Guttuso, Renato",La Battaglia di Ponte dell'Ammiraglio,1951-1952,San Pier Scheraggio
marchigiana,"Cagli, Corrado",Battaglia di San Martino,1936,San Pier Scheraggio
fiorentina,"Daddi, Bernardo (bottega, forse Maestro di San Martino alla Palma)",Madonna della Ninna,1325-1350 circa,San Pier Scheraggio
